                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1047,                0.50667,                      1,                 1.0749,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                0.98908,                    0.8,                      1,                 1.0169,             0.00019886,             0.00019886,             0.00019886
                      3,                0.83151,                0.85333,                      1,                0.89665,             0.00028928,             0.00028928,             0.00028928
                      4,                0.67798,                0.81333,                      1,                0.83008,             0.00037121,             0.00037121,             0.00037121
                      5,                0.56161,                0.89333,                      1,                 0.7207,             0.00044467,             0.00044467,             0.00044467
                      6,                0.45115,                0.90667,                      1,                 0.6945,             0.00050964,             0.00050964,             0.00050964
                      7,                0.40561,                   0.92,                      1,                0.66097,             0.00054435,             0.00054435,             0.00054435
                      8,                0.38001,                0.93333,                      1,                0.68359,             0.00051608,             0.00051608,             0.00051608
                      9,                0.28405,                0.90667,                      1,                0.65658,              0.0004878,              0.0004878,              0.0004878
                     10,                0.31572,                0.90667,                      1,                 0.6512,             0.00045953,             0.00045953,             0.00045953
                     11,                0.27757,                0.90667,                      1,                0.65755,             0.00043126,             0.00043126,             0.00043126
                     12,                0.29859,                   0.92,                      1,                0.68734,             0.00040298,             0.00040298,             0.00040298
                     13,                 0.3182,                   0.92,                      1,                0.62972,             0.00037471,             0.00037471,             0.00037471
                     14,                0.21876,                   0.96,                      1,                 0.6263,             0.00034643,             0.00034643,             0.00034643
                     15,                0.21839,                0.94667,                      1,                0.61556,             0.00031816,             0.00031816,             0.00031816
                     16,                0.17489,                   0.92,                      1,                0.64128,             0.00028988,             0.00028988,             0.00028988
                     17,                0.17949,                0.93333,                      1,                 0.6403,             0.00026161,             0.00026161,             0.00026161
                     18,                0.12688,                0.93333,                      1,                0.63883,             0.00023334,             0.00023334,             0.00023334
                     19,                 0.1386,                   0.96,                      1,                0.63737,             0.00020506,             0.00020506,             0.00020506
                     20,                0.13288,                0.93333,                      1,                0.63118,             0.00017679,             0.00017679,             0.00017679
                     21,                0.24685,                   0.92,                      1,                 0.6512,             0.00014851,             0.00014851,             0.00014851
                     22,                0.23117,                0.93333,                      1,                0.65218,             0.00012024,             0.00012024,             0.00012024
                     23,                0.20001,                0.94667,                      1,                0.61686,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.24588,                   0.96,                      1,                0.63184,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.20556,                   0.96,                      1,                0.61019,             3.5414e-05,             3.5414e-05,             3.5414e-05
